bauwerksnr,zustandsnote,zustandsklasse,geo_e,geo_n,latitude,longitude
1322505-1,1.9,gut,527389.638,6058482.823,54.6729624690831,9.424727345185348
1322505-2,1.9,gut,527389.638,6058482.823,54.6729624690831,9.424727345185348
1324501-0,1.7,gut,546886.111,6054106.645,54.63220042254342,9.72633341868787
1325500-0,1.9,gut,562081.814,6054935.152,54.63800476146786,9.961880130123967
1325501-0,1.7,gut,561926.506,6055637.272,54.64433288165563,9.959622783959933
1325502-0,2.0,befriedigend,561704.49,6056210.968,54.64951514334691,9.956303935152414
1325505-0,2.0,befriedigend,560944.788,6060649.831,54.6894937600766,9.945457838587163
1325511-0,1.9,gut,562314.731,6053763.722,54.62744994188009,9.965238998742109
1325515-B1,2.0,befriedigend,560407.658,6057302.946,54.65948435226965,9.936434083798185
1325515-C,2.0,befriedigend,560407.658,6057302.946,54.65948435226965,9.936434083798185
1420500-0,2.0,befriedigend,504201.227,6041062.07,54.51712867056118,9.06489940820306
1420506-0,1.0,sehr gut,500674.457,6043992.759,54.54348409290983,9.010425540329571
